id,Date,Comment,Usage,Label
1,20120603163526Z,like this if you are a tribe fan,PrivateTest,0
2,20120531215447Z,youre idiot,PrivateTest,1
3,20120823164228Z,i am a woman babs and the only war on women i see is coming from jackazzes like youxa i dont need your protection or your ignorant rhetoric masquerading as representing my best interestsxa,PrivateTest,1
4,20120826010752Z,wow you benefitted so many wins this year from his bat nice stupid,PrivateTest,1
5,20120602223825Z,haha green me red you now loser whos winning now moron,PrivateTest,1
6,20120603202442Z,nme and god both hatefaggotsnnwhats the difference between afagand a refrigeratornrefrigerators dont fart when you put the meat in,PrivateTest,0
7,20120603163604Z,oh go kiss the ass of a goatand you dummycraps insult veteranseven your cowardincompetentchiefeveryone of you are the enemyand youll all falland hard too boy,PrivateTest,1
8,20120602223902Z,not a chance kid youre wrong,PrivateTest,0
9,20120528064125Z,on some real shit fuck live jasmin,PrivateTest,0
10,20120603071243Z,ok but where the hell was it releasedyou all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it releasedfuck it,PrivateTest,1
11,20120531222107Z,xa has found our slice of the internetsxa fuck you,PrivateTest,1
12,20120602124231Z,xahahahahah you are a delusional moron,PrivateTest,1
13,20120531213632Z,there you are been missing you how are you doing feeling better,PrivateTest,0
14,20120826163900Z,wenttoaunnhe made a prediction just like you but he doesnt know anything about football that makes sense pffft you like to dish it out about bama but let someone say something about auburn and you start crying idiots,PrivateTest,1
15,20120824113742Z,kathy leeshut your pie holeand whats with that face and fish lipsdumb arse,PrivateTest,1
16,20120528193938Z,youre a crank,PrivateTest,1
17,20120602093617Z,come on oppa youre a man xd,PrivateTest,0
18,20120531011755Z,i like your enthusiasm and initiative youre a real go getter,PrivateTest,0
19,20120603034157Z,juggalo you suck at trolling,PrivateTest,1
20,20120528204217Z,you seem a very eloquent grounded and educated personxa,PrivateTest,0
21,20120531032438Z,its a wild wild world keep your dirty fingers off of my human rights,PrivateTest,0
22,20120602003811Z,are you about to recapture your swag,PrivateTest,0
23,20120528234413Z,no shit you must be axageniusxa,PrivateTest,1
24,20120823151417Z,nxeo tenho a mxednima pacixeancia pra esse tipo de babaca que acha que se existe um problema grave acontecendo ninguxem pode nem ligar a tv pra ver uma novela tem que viver em funxexeo de mensaxexeo corrupxexeo greve blablabla saco,PrivateTest,0
25,20120531043929Z,are you on roids by chance,PrivateTest,1
26,20120531185334Z,xayou are a disgusting human being,PrivateTest,1
27,20120531045417Z,you are well versed when it may be on xamust be one of your favs if you know those details,PrivateTest,0
28,20120531044152Z,we you and the mouse in your pocket,PrivateTest,0
29,20120531032755Z,glad you realize this pnnkidding,PrivateTest,0
30,20120603174414Z,damn you would rock this so hard,PrivateTest,0
31,20120603183334Z,in your face cano haters,PrivateTest,0
32,20120602030742Z,what foul are you kidding,PrivateTest,0
33,20120529031643Z,you would know alot about rolls fat boy,PrivateTest,1
34,20120531043949Z,you look pretty damn good,PrivateTest,0
35,20120601203416Z,you are a moron i am a computer guy that has my own company my mouth will get me in trouble i doubt it stupid m f ernnagain what is the name of your other account i know you do not want sayndouche bag,PrivateTest,1
36,20120826001254Z,it is the corrupt government blasting underground bunkers and tunnels in preparation for the coming nucleareconomic disaster they hope we will all die off so they can come out after the fallout is gone and rebuild the world as kings they will fail,PrivateTest,0
37,20120825023415Z,the phillies are terrible go back to your cave,PrivateTest,1
38,20120526233042Z,you are so naiveuseful idiot,PrivateTest,1
39,20120601162021Z,are you kidding me,PrivateTest,0
40,20120602142119Z,you are an opinionated uneducated idiot and kingdom of heaven directors cut is a masterpiece,PrivateTest,1
41,20120528180139Z,shut up muffin you soft a btch,PrivateTest,1
42,20120603034047Z,okay im going to blow your fucking minds xawhat if the three elderly members of the council arent just ineffectual pushovers but are actually being bloodbended by tarrlok to give him the majority vote on every decision xaits a stretch because you d think somebody would notice but they surely couldnt be that willing to turn republic city into a police state at the first sign of trouble could they,PrivateTest,0
43,20120601154705Z,its also a synonym for shit,PrivateTest,0
44,20120531011747Z,well then youre welcome to contact your own lawyer,PrivateTest,0
